row_id,column,original_value,injected_value,error_type,error_family
110654,country,SVN,unknown,missing_unknown_string,missing_values
66713,country,PRT,,missing_empty_string,missing_values
115315,country,BRA,NA,missing_NA_string,missing_values
30783,country,PRT,NA,missing_NA_string,missing_values
14764,country,GBR,,missing_nan,missing_values
83042,country,PRT,unknown,missing_unknown_string,missing_values
8054,country,PRT,N/A,missing_N/A_string,missing_values
25860,country,PRT,NA,missing_NA_string,missing_values
24038,country,FRA, ,missing_whitespace,missing_values
74619,country,PRT,,missing_empty_string,missing_values
104175,country,PRT, ,missing_whitespace,missing_values
33356,country,ESP,unknown,missing_unknown_string,missing_values
17010,country,FRA,,missing_empty_string,missing_values
53470,country,USA,unknown,missing_unknown_string,missing_values
105702,country,GBR,unknown,missing_unknown_string,missing_values
16721,country,IRL,NA,missing_NA_string,missing_values
8568,country,GBR,NA,missing_NA_string,missing_values
1551,country,GBR, ,missing_whitespace,missing_values
92436,country,GBR,,missing_nan,missing_values
112044,country,CN,,missing_nan,missing_values
33693,country,ESP,N/A,missing_N/A_string,missing_values
71797,country,PRT, ,missing_whitespace,missing_values
110341,country,FRA,N/A,missing_N/A_string,missing_values
8091,country,BRA,,missing_nan,missing_values
9130,country,GBR,N/A,missing_N/A_string,missing_values
58688,country,PRT,,missing_empty_string,missing_values
86125,country,PRT,unknown,missing_unknown_string,missing_values
68900,country,USA,N/A,missing_N/A_string,missing_values
22663,country,CN,NA,missing_NA_string,missing_values
46241,country,ESP,N/A,missing_N/A_string,missing_values
56725,country,PRT,unknown,missing_unknown_string,missing_values
4899,country,PRT,unknown,missing_unknown_string,missing_values
89470,country,PRT,NA,missing_NA_string,missing_values
49223,country,ESP,N/A,missing_N/A_string,missing_values
54481,country,ESP,,missing_nan,missing_values
48986,country,PRT,NA,missing_NA_string,missing_values
25686,country,USA,NA,missing_NA_string,missing_values
37302,country,PRT,N/A,missing_N/A_string,missing_values
97646,country,FRA, ,missing_whitespace,missing_values
70089,country,PRT, ,missing_whitespace,missing_values
82909,country,PRT,NA,missing_NA_string,missing_values
39597,country,PRT,N/A,missing_N/A_string,missing_values
57107,country,PRT,,missing_nan,missing_values
71745,country,ESP,NA,missing_NA_string,missing_values
117913,country,POL,unknown,missing_unknown_string,missing_values
6133,country,GBR,unknown,missing_unknown_string,missing_values
18054,country,PRT, ,missing_whitespace,missing_values
28400,country,ESP,NA,missing_NA_string,missing_values
50682,country,FRA, ,missing_whitespace,missing_values
4007,country,PRT, ,missing_whitespace,missing_values
95909,country,DEU,N/A,missing_N/A_string,missing_values
87734,country,FRA,,missing_nan,missing_values
40332,country,PRT,NA,missing_NA_string,missing_values
15881,country,IRL,unknown,missing_unknown_string,missing_values
85895,country,GBR,N/A,missing_N/A_string,missing_values
63893,country,LUX, ,missing_whitespace,missing_values
67433,country,JPN,unknown,missing_unknown_string,missing_values
74475,country,PRT,,missing_nan,missing_values
115864,country,DEU, ,missing_whitespace,missing_values
89882,country,DEU,NA,missing_NA_string,missing_values
103789,country,FRA,unknown,missing_unknown_string,missing_values
70486,country,PRT,N/A,missing_N/A_string,missing_values
68372,country,PRT,NA,missing_NA_string,missing_values
42336,country,PRT,,missing_nan,missing_values
61044,country,FRA,,missing_nan,missing_values
25783,country,BEL,N/A,missing_N/A_string,missing_values
2224,country,PRT,N/A,missing_N/A_string,missing_values
59421,country,PRT,N/A,missing_N/A_string,missing_values
24533,country,IRL,,missing_nan,missing_values
28765,country,GBR,N/A,missing_N/A_string,missing_values
115408,country,DEU,,missing_nan,missing_values
26809,country,PRT,,missing_nan,missing_values
64221,country,PRT,NA,missing_NA_string,missing_values
33271,country,PRT,N/A,missing_N/A_string,missing_values
91837,country,GBR,N/A,missing_N/A_string,missing_values
26642,country,ESP, ,missing_whitespace,missing_values
68873,country,IRL, ,missing_whitespace,missing_values
106718,country,DEU,NA,missing_NA_string,missing_values
12262,country,SWE,unknown,missing_unknown_string,missing_values
4939,country,GBR,,missing_nan,missing_values
115479,country,GBR, ,missing_whitespace,missing_values
94355,country,DEU,NA,missing_NA_string,missing_values
69232,country,DEU,unknown,missing_unknown_string,missing_values
87885,country,TUN, ,missing_whitespace,missing_values
78452,country,DEU,unknown,missing_unknown_string,missing_values
117291,country,NLD, ,missing_whitespace,missing_values
53818,country,PRT,,missing_nan,missing_values
18206,country,CHL,,missing_empty_string,missing_values
51309,country,PRT,N/A,missing_N/A_string,missing_values
60383,country,PRT,N/A,missing_N/A_string,missing_values
33438,country,FIN,,missing_nan,missing_values
32514,country,ESP,unknown,missing_unknown_string,missing_values
88397,country,PRT,,missing_nan,missing_values
80320,country,PRT, ,missing_whitespace,missing_values
112517,country,FRA,,missing_nan,missing_values
1003,country,PRT,NA,missing_NA_string,missing_values
75512,country,PRT,unknown,missing_unknown_string,missing_values
50091,country,PRT,N/A,missing_N/A_string,missing_values
57330,country,CHN,unknown,missing_unknown_string,missing_values
31501,country,IRL,unknown,missing_unknown_string,missing_values
115017,country,FRA, ,missing_whitespace,missing_values
110091,country,USA,NA,missing_NA_string,missing_values
85598,country,FRA, ,missing_whitespace,missing_values
83589,country,FRA,N/A,missing_N/A_string,missing_values
94921,country,CN, ,missing_whitespace,missing_values
85823,country,PRT,unknown,missing_unknown_string,missing_values
69468,country,PRT,,missing_nan,missing_values
63953,country,PRT,N/A,missing_N/A_string,missing_values
60004,country,FRA, ,missing_whitespace,missing_values
28411,country,GBR,,missing_nan,missing_values
67343,country,PRT, ,missing_whitespace,missing_values
29318,country,SWE,,missing_nan,missing_values
59395,country,PRT, ,missing_whitespace,missing_values
56903,country,PRT,unknown,missing_unknown_string,missing_values
59517,country,ESP,,missing_nan,missing_values
11272,country,PRT,unknown,missing_unknown_string,missing_values
61018,country,PRT,,missing_nan,missing_values
103392,country,PRT,N/A,missing_N/A_string,missing_values
115735,country,DEU, ,missing_whitespace,missing_values
110822,country,DEU,,missing_empty_string,missing_values
82491,country,FRA,,missing_empty_string,missing_values
31436,country,GBR,NA,missing_NA_string,missing_values
62402,country,BRA,NA,missing_NA_string,missing_values
67076,country,ITA,,missing_nan,missing_values
14686,country,GBR,NA,missing_NA_string,missing_values
68357,country,CHE,,missing_empty_string,missing_values
60111,country,PRT,,missing_nan,missing_values
112861,country,FRA,,missing_empty_string,missing_values
28812,country,GBR,,missing_nan,missing_values
50011,country,PRT, ,missing_whitespace,missing_values
88691,country,ARG, ,missing_whitespace,missing_values
85832,country,ESP,NA,missing_NA_string,missing_values
84146,country,PRT, ,missing_whitespace,missing_values
14886,country,BEL,NA,missing_NA_string,missing_values
75620,country,PRT, ,missing_whitespace,missing_values
2938,country,DEU,,missing_empty_string,missing_values
58112,country,PRT,,missing_empty_string,missing_values
89648,country,GBR,unknown,missing_unknown_string,missing_values
108514,country,FRA,,missing_empty_string,missing_values
6576,country,GBR,unknown,missing_unknown_string,missing_values
103354,country,NLD,NA,missing_NA_string,missing_values
56935,country,CHN,NA,missing_NA_string,missing_values
115139,country,DEU,NA,missing_NA_string,missing_values
90463,country,USA,unknown,missing_unknown_string,missing_values
15301,country,PRT,,missing_nan,missing_values
12546,country,NOR,unknown,missing_unknown_string,missing_values
32072,country,PRT,unknown,missing_unknown_string,missing_values
83620,country,PRT,unknown,missing_unknown_string,missing_values
75275,country,PRT, ,missing_whitespace,missing_values
113021,country,GBR,unknown,missing_unknown_string,missing_values
56964,country,PRT,N/A,missing_N/A_string,missing_values
91177,country,ITA,NA,missing_NA_string,missing_values
57638,country,PRT,NA,missing_NA_string,missing_values
55711,country,IRL,unknown,missing_unknown_string,missing_values
34599,country,FRA,NA,missing_NA_string,missing_values
63328,country,PRT,N/A,missing_N/A_string,missing_values
91275,country,GBR,,missing_nan,missing_values
104001,country,FRA,,missing_empty_string,missing_values
12658,country,CHE,,missing_empty_string,missing_values
9131,country,PRT,NA,missing_NA_string,missing_values
103394,country,CHN,N/A,missing_N/A_string,missing_values
90692,country,SWE,unknown,missing_unknown_string,missing_values
79812,country,FRA,NA,missing_NA_string,missing_values
17008,country,FRA,,missing_nan,missing_values
51518,country,FRA,N/A,missing_N/A_string,missing_values
28041,country,GBR,,missing_nan,missing_values
41809,country,ESP, ,missing_whitespace,missing_values
4523,country,IRL,unknown,missing_unknown_string,missing_values
40928,country,ESP,,missing_empty_string,missing_values
53003,country,PRT,,missing_empty_string,missing_values
38459,country,GBR,,missing_nan,missing_values
103298,country,FRA,NA,missing_NA_string,missing_values
76660,country,PRT,,missing_nan,missing_values
84507,country,PRT, ,missing_whitespace,missing_values
109354,country,NLD,,missing_nan,missing_values
24054,country,ESP,N/A,missing_N/A_string,missing_values
23074,country,GBR,N/A,missing_N/A_string,missing_values
